,id,retweet_count,favorite_count
0,892420643555336193,8853,39467
1,892177421306343426,6514,33819
2,891815181378084864,4328,25461
3,891689557279858688,8964,42908
4,891327558926688256,9774,41048
5,891087950875897856,3261,20562
6,890971913173991426,2158,12041
7,890729181411237888,16716,56848
8,890609185150312448,4429,28226
9,890240255349198849,7711,32467
10,890006608113172480,7624,31166
11,889880896479866881,5156,28268
12,889665388333682689,8538,38818
13,889638837579907072,4735,27672
14,889531135344209921,2321,15359
15,889278841981685760,5637,25652
16,888917238123831296,4709,29611
17,888804989199671297,4559,26080
18,888554962724278272,3732,20290
19,888078434458587136,3653,22201
20,887705289381826560,5609,30779
21,887517139158093824,12082,46959
22,887473957103951883,18781,69871
23,887343217045368832,10737,34222
24,887101392804085760,6167,31061
25,886983233522544640,8084,35859
26,886736880519319552,3443,12306
27,886680336477933568,4610,22798
28,886366144734445568,3316,21524
29,886267009285017600,4,117
30,886258384151887873,6523,28469
31,886054160059072513,108,0
32,885984800019947520,7097,33382
33,885528943205470208,6683,36689
34,885518971528720385,3899,20788
35,885311592912609280,19297,0
36,885167619883638784,4556,22367
37,884925521741709313,16439,68152
38,884876753390489601,6096,28514
39,884562892145688576,5100,24765
40,884441805382717440,5856,27478
41,884247878851493888,21298,74423
42,884162670584377345,3128,20771
43,883838122936631299,3586,22349
44,883482846933004288,10407,46860
45,883360690899218434,3825,22986
46,883117836046086144,6949,37914
47,882992080364220416,4122,24445
48,882762694511734784,5134,28903
49,882627270321602560,6342,28382
50,882268110199369728,12118,45880
51,882045870035918850,5203,29900
52,881906580714921986,3533,24773
53,881666595344535552,11099,51522
54,881633300179243008,7,129
55,881536004380872706,16570,50199
56,881268444196462592,5358,23501
57,880935762899988482,2886,17346
58,880872448815771648,3989,21734
59,880465832366813184,6546,29075
60,880221127280381952,4436,27640
61,880095782870896641,4533,28150
62,879862464715927552,3642,22667
63,879674319642796034,10,315
64,879492040517615616,3323,23822
65,879415818425184262,45849,107956
66,879376492567855104,3261,17099
67,879130579576475649,7181,0
68,879050749262655488,4941,23022
69,879008229531029506,2812,19317
70,878776093423087618,4319,19763
71,878604707211726852,7582,30931
72,878404777348136964,1349,0
73,878316110768087041,6965,0
74,878281511006478336,1349,7913
75,878057613040115712,7181,42876
76,877736472329191424,17300,71144
77,877611172832227328,83,0
78,877556246731214848,3994,23258
79,877316821321428993,5414,27907
80,877201837425926144,5880,27755
81,876838120628539392,3506,21125
82,876537666061221889,4800,23869
83,876484053909872640,2511,19163
84,876120275196170240,4903,28490
85,875747767867523072,4497,25773
86,875144289856114688,5081,22185
87,875097192612077568,6342,27997
88,875021211251597312,4922,26022
89,874680097055178752,4875,28439
90,874434818259525634,15546,0
91,874296783580663808,4308,26651
92,874057562936811520,4125,23134
93,874012996292530176,11007,35501
94,873697596434513921,12518,0
95,873580283840344065,4143,24837
96,873337748698140672,1667,0
97,873213775632977920,1667,7467
98,872967104147763200,5669,28031
99,872820683541237760,3884,15029
100,872668790621863937,31,0
101,872620804844003328,3911,21309
102,872486979161796608,9429,41606
103,872261713294495745,6649,35085
104,872122724285648897,8549,35324
105,871879754684805121,11918,39090
106,871762521631449091,3678,20787
107,871515927908634625,3628,20730
108,871166179821445120,5991,0
109,871102520638267392,5764,21461
110,871032628920680449,3999,23255
111,870804317367881728,6393,33791
112,870726314365509632,3,121
113,870656317836468226,2817,12819
114,870374049280663552,27680,85011
115,870308999962521604,4384,22453
116,870063196459192321,8840,37771
117,869988702071779329,25661,0
118,869772420881756160,10663,43710
119,869702957897576449,6728,29116
120,869596645499047938,3327,16476
121,869227993411051520,4023,21112
122,868880397819494401,12518,55098
123,868639477480148993,2240,0
124,868622495443632128,6275,28295
125,868552278524837888,2240,10539
126,867900495410671616,4439,24964
127,867774946302451713,7788,35179
128,867421006826221569,2697,16755
129,867072653475098625,135,0
130,867051520902168576,8425,33420
131,866816280283807744,32883,0
132,866720684873056260,5168,20888
133,866686824827068416,3727,20070
134,866450705531457537,32883,106827
